date,1. open,2. high,3. low,4. close,5. volume
2020-03-27 16:00:00,247.7,248.39,247.62,247.71,767333.0
2020-03-27 15:59:00,247.97,248.4299,247.6,247.66,403506.0
2020-03-27 15:58:00,247.54,248.48,247.41,247.97,355209.0
2020-03-27 15:57:00,248.32,248.37,247.5,247.53,344644.0
2020-03-27 15:56:00,247.2057,248.66,247.05,248.35,325544.0
2020-03-27 15:55:00,248.43,248.83,247.18,247.24,487683.0
2020-03-27 15:54:00,248.14,248.8494,248.02,248.36,304148.0
2020-03-27 15:53:00,248.63,249.09,248.07,248.13,268005.0
2020-03-27 15:52:00,248.63,249.17,248.44,248.67,238862.0
2020-03-27 15:51:00,250.19,250.19,248.4,248.621,588534.0
2020-03-27 15:50:00,250.33,250.81,250.0,250.1802,163941.0
2020-03-27 15:49:00,250.88,250.88,250.0,250.2685,165471.0
2020-03-27 15:48:00,251.17,251.36,250.83,250.89,104121.0
2020-03-27 15:47:00,251.34,251.46,250.86,251.16,155511.0
2020-03-27 15:46:00,251.04,251.79,251.011,251.35,206460.0
2020-03-27 15:45:00,250.83,251.42,250.78,251.0609,173315.0
2020-03-27 15:44:00,250.8184,250.87,250.3627,250.67,132344.0
2020-03-27 15:43:00,250.04,250.9,250.0,250.855,197302.0
2020-03-27 15:42:00,250.5,250.5743,250.0,250.025,177169.0
2020-03-27 15:41:00,251.22,251.51,250.31,250.56,228418.0
2020-03-27 15:40:00,251.85,251.85,251.23,251.26,144434.0
2020-03-27 15:39:00,251.468,252.29,251.37,251.81,165988.0
2020-03-27 15:38:00,252.23,252.2699,251.3,251.4671,185253.0
2020-03-27 15:37:00,252.5957,252.7397,252.1702,252.3,134476.0
2020-03-27 15:36:00,253.356,253.38,252.5738,252.62,100411.0
2020-03-27 15:35:00,252.885,253.41,252.69,253.4,138569.0
2020-03-27 15:34:00,253.725,253.725,252.81,252.91,167883.0
2020-03-27 15:33:00,254.345,254.475,253.64,253.7,116510.0
2020-03-27 15:32:00,254.54,254.65,254.3,254.34,90079.0
2020-03-27 15:31:00,255.1905,255.28,254.39,254.43,173537.0
2020-03-27 15:30:00,255.4,255.59,255.15,255.1602,122422.0
2020-03-27 15:29:00,255.86,255.87,255.2,255.41,169520.0
2020-03-27 15:28:00,255.2401,255.87,255.17,255.87,168600.0
2020-03-27 15:27:00,255.06,255.35,255.06,255.26,129993.0
2020-03-27 15:26:00,254.965,255.21,254.77,255.06,111752.0
2020-03-27 15:25:00,254.42,255.06,254.4,254.9671,149947.0
2020-03-27 15:24:00,254.1,254.44,254.064,254.4,68336.0
2020-03-27 15:23:00,254.49,254.52,253.85,254.075,106007.0
2020-03-27 15:22:00,254.48,254.7299,254.38,254.49,61738.0
2020-03-27 15:21:00,254.55,254.6194,254.22,254.48,70255.0
2020-03-27 15:20:00,254.78,254.93,254.5275,254.5499,69462.0
2020-03-27 15:19:00,254.69,254.85,254.44,254.75,65093.0
2020-03-27 15:18:00,254.37,254.88,254.274,254.6826,99958.0
2020-03-27 15:17:00,253.815,254.55,253.815,254.335,94897.0
2020-03-27 15:16:00,254.13,254.369,253.75,253.84,113900.0
2020-03-27 15:15:00,254.49,254.49,254.056,254.11,92136.0
2020-03-27 15:14:00,255.01,255.0117,254.35,254.52,123272.0
2020-03-27 15:13:00,254.87,255.3,254.8,255.035,146353.0
2020-03-27 15:12:00,254.832,255.04,254.8,254.89,80540.0
2020-03-27 15:11:00,254.7441,255.0,254.665,254.86,158836.0
2020-03-27 15:10:00,254.6,254.9,254.45,254.695,131395.0
2020-03-27 15:09:00,254.3,254.6295,254.1099,254.57,110358.0
2020-03-27 15:08:00,254.1,254.49,253.97,254.3206,100758.0
2020-03-27 15:07:00,254.03,254.21,253.96,254.2,70821.0
2020-03-27 15:06:00,254.285,254.35,253.8427,254.0,95246.0
2020-03-27 15:05:00,254.0,254.35,253.98,254.2852,97522.0
2020-03-27 15:04:00,254.0,254.1773,253.89,253.97,173658.0
2020-03-27 15:03:00,253.81,254.0,253.67,253.98,128588.0
2020-03-27 15:02:00,253.76,253.89,253.58,253.79,54701.0
2020-03-27 15:01:00,253.69,253.84,253.34,253.783,78228.0
2020-03-27 15:00:00,253.6136,253.82,253.5118,253.74,69655.0
2020-03-27 14:59:00,253.49,253.69,253.4,253.6473,90966.0
2020-03-27 14:58:00,253.47,253.5,253.28,253.49,51359.0
2020-03-27 14:57:00,253.32,253.5,253.15,253.5,52755.0
2020-03-27 14:56:00,253.17,253.43,253.01,253.35,47804.0
2020-03-27 14:55:00,253.2413,253.4,253.13,253.1992,41172.0
2020-03-27 14:54:00,253.19,253.43,253.13,253.2299,75508.0
2020-03-27 14:53:00,252.745,253.4498,252.71,253.2199,115709.0
2020-03-27 14:52:00,252.49,252.89,252.49,252.718,67331.0
2020-03-27 14:51:00,252.8,252.8,252.42,252.42,61737.0
2020-03-27 14:50:00,252.8238,252.92,252.67,252.76,37307.0
2020-03-27 14:49:00,252.91,252.93,252.597,252.785,36924.0
2020-03-27 14:48:00,252.8856,253.02,252.82,252.9467,51906.0
2020-03-27 14:47:00,252.67,252.89,252.58,252.845,42578.0
2020-03-27 14:46:00,252.9,252.9,252.31,252.68,82262.0
2020-03-27 14:45:00,253.09,253.13,252.74,252.935,52612.0
2020-03-27 14:44:00,253.08,253.12,252.935,253.035,28496.0
2020-03-27 14:43:00,253.15,253.39,253.01,253.01,34485.0
2020-03-27 14:42:00,253.25,253.25,252.8,253.0401,48274.0
2020-03-27 14:41:00,253.338,253.49,253.25,253.25,39650.0
2020-03-27 14:40:00,253.485,253.6631,253.25,253.3403,49827.0
2020-03-27 14:39:00,253.57,253.79,253.475,253.5,44898.0
2020-03-27 14:38:00,253.7599,253.8,253.36,253.555,56308.0
2020-03-27 14:37:00,253.6,253.96,253.57,253.73,54317.0
2020-03-27 14:36:00,253.7479,253.8573,253.55,253.5901,41056.0
2020-03-27 14:35:00,253.828,253.828,253.828,253.828,56406.0
2020-03-27 14:34:00,253.56,253.94,253.56,253.867,85379.0
2020-03-27 14:33:00,253.11,253.59,253.095,253.56,56048.0
2020-03-27 14:32:00,253.1251,253.24,253.04,253.161,42624.0
2020-03-27 14:31:00,253.1562,253.2318,252.86,253.13,41196.0
2020-03-27 14:30:00,252.78,253.25,252.78,253.09,33752.0
2020-03-27 14:29:00,253.03,253.03,252.61,252.78,50880.0
2020-03-27 14:28:00,253.51,253.52,252.95,252.95,51994.0
2020-03-27 14:27:00,252.835,253.58,252.75,253.53,68753.0
2020-03-27 14:26:00,252.74,252.92,252.66,252.8301,36389.0
2020-03-27 14:25:00,253.27,253.38,252.53,252.68,103659.0
2020-03-27 14:24:00,253.3,253.43,253.16,253.28,61251.0
2020-03-27 14:23:00,253.03,253.3495,253.0132,253.3021,55072.0
2020-03-27 14:22:00,252.9166,253.09,252.8,253.03,39245.0
2020-03-27 14:21:00,252.97,253.11,252.67,252.91,64753.0
