date,1. open,2. high,3. low,4. close,5. volume
2020-03-30 13:18:00,17.81,17.81,17.81,17.81,91.0
2020-03-30 13:17:00,17.79,17.81,17.79,17.81,1029.0
2020-03-30 13:16:00,17.75,17.77,17.75,17.77,1109.0
2020-03-30 13:15:00,17.74,17.74,17.74,17.74,1114.0
2020-03-30 13:14:00,17.74,17.74,17.72,17.74,612.0
2020-03-30 13:13:00,17.79,17.79,17.73,17.757,4382.0
2020-03-30 13:12:00,17.81,17.81,17.8,17.8,425.0
2020-03-30 13:11:00,17.81,17.82,17.81,17.81,2217.0
2020-03-30 13:10:00,17.8,17.8,17.795,17.795,174.0
2020-03-30 13:09:00,17.77,17.79,17.77,17.79,1637.0
2020-03-30 13:08:00,17.86,17.86,17.8,17.8,3208.0
2020-03-30 13:07:00,17.86,17.86,17.86,17.86,430.0
2020-03-30 13:06:00,17.865,17.865,17.865,17.865,245.0
2020-03-30 13:05:00,17.87,17.8701,17.87,17.87,1712.0
2020-03-30 13:04:00,17.87,17.87,17.867,17.87,0.0
2020-03-30 13:03:00,17.865,17.87,17.86,17.86,998.0
2020-03-30 13:02:00,17.88,17.88,17.87,17.88,1677.0
2020-03-30 13:01:00,17.895,17.895,17.885,17.889,1804.0
2020-03-30 13:00:00,17.89,17.9,17.89,17.89,3989.0
2020-03-30 12:59:00,17.88,17.895,17.875,17.895,14529.0
2020-03-30 12:58:00,17.8701,17.88,17.8701,17.88,358.0
2020-03-30 12:57:00,17.88,17.88,17.87,17.87,3191.0
2020-03-30 12:56:00,17.82,17.86,17.82,17.86,3225.0
2020-03-30 12:55:00,17.835,17.835,17.81,17.81,1019.0
2020-03-30 12:54:00,17.85,17.85,17.835,17.84,1643.0
2020-03-30 12:53:00,17.85,17.86,17.85,17.86,889.0
2020-03-30 12:52:00,17.85,17.86,17.845,17.845,494.0
2020-03-30 12:51:00,17.85,17.88,17.845,17.85,2518.0
2020-03-30 12:50:00,17.83,17.85,17.83,17.85,1759.0
2020-03-30 12:49:00,17.83,17.85,17.83,17.85,884.0
2020-03-30 12:48:00,17.83,17.83,17.83,17.83,695.0
2020-03-30 12:47:00,17.82,17.83,17.82,17.83,1210.0
2020-03-30 12:46:00,17.81,17.83,17.81,17.82,2472.0
2020-03-30 12:45:00,17.82,17.82,17.8,17.8,2223.0
2020-03-30 12:44:00,17.8,17.83,17.8,17.83,1507.0
2020-03-30 12:43:00,17.845,17.845,17.79,17.79,2267.0
2020-03-30 12:42:00,17.85,17.8572,17.84,17.85,1847.0
2020-03-30 12:41:00,17.84,17.87,17.835,17.86,4270.0
2020-03-30 12:40:00,17.82,17.84,17.82,17.84,3041.0
2020-03-30 12:39:00,17.8,17.815,17.795,17.815,4681.0
2020-03-30 12:38:00,17.79,17.8,17.785,17.8,1995.0
2020-03-30 12:37:00,17.79,17.79,17.79,17.79,93.0
2020-03-30 12:36:00,17.76,17.76,17.76,17.76,697.0
2020-03-30 12:35:00,17.75,17.785,17.745,17.76,5284.0
2020-03-30 12:34:00,17.75,17.75,17.74,17.745,1839.0
2020-03-30 12:33:00,17.75,17.755,17.75,17.755,1177.0
2020-03-30 12:32:00,17.76,17.78,17.75,17.75,2266.0
2020-03-30 12:31:00,17.71,17.7558,17.7,17.7558,4635.0
2020-03-30 12:30:00,17.705,17.71,17.705,17.71,1476.0
2020-03-30 12:29:00,17.72,17.72,17.71,17.71,1291.0
2020-03-30 12:28:00,17.71,17.71,17.71,17.71,365.0
2020-03-30 12:27:00,17.74,17.74,17.715,17.715,910.0
2020-03-30 12:26:00,17.76,17.77,17.75,17.75,2627.0
2020-03-30 12:25:00,17.74,17.77,17.74,17.77,1944.0
2020-03-30 12:24:00,17.7,17.75,17.695,17.75,6046.0
2020-03-30 12:23:00,17.73,17.73,17.695,17.7,1658.0
2020-03-30 12:22:00,17.77,17.77,17.73,17.73,1584.0
2020-03-30 12:21:00,17.83,17.84,17.78,17.785,2515.0
2020-03-30 12:20:00,17.85,17.85,17.84,17.84,2757.0
2020-03-30 12:19:00,17.79,17.8401,17.79,17.8401,2726.0
2020-03-30 12:18:00,17.81,17.81,17.79,17.79,1636.0
2020-03-30 12:17:00,17.79,17.81,17.775,17.81,1213.0
2020-03-30 12:16:00,17.75,17.81,17.74,17.8,2224.0
2020-03-30 12:15:00,17.75,17.75,17.73,17.74,2522.0
2020-03-30 12:14:00,17.72,17.72,17.72,17.72,1105.0
2020-03-30 12:13:00,17.71,17.7156,17.6801,17.7156,925.0
2020-03-30 12:12:00,17.7,17.74,17.7,17.72,3126.0
2020-03-30 12:11:00,17.66,17.7,17.66,17.7,1633.0
2020-03-30 12:10:00,17.655,17.68,17.65,17.67,4754.0
2020-03-30 12:09:00,17.695,17.7,17.65,17.655,2847.0
2020-03-30 12:08:00,17.7,17.7,17.69,17.695,1009.0
2020-03-30 12:07:00,17.71,17.71,17.71,17.71,90.0
2020-03-30 12:06:00,17.69,17.73,17.685,17.72,3098.0
2020-03-30 12:05:00,17.71,17.71,17.69,17.7,2117.0
2020-03-30 12:04:00,17.73,17.73,17.71,17.725,1915.0
2020-03-30 12:03:00,17.78,17.78,17.74,17.74,819.0
2020-03-30 12:02:00,17.8,17.8,17.77,17.78,3278.0
2020-03-30 12:01:00,17.83,17.83,17.81,17.81,7560.0
2020-03-30 12:00:00,17.83,17.83,17.825,17.825,1764.0
2020-03-30 11:59:00,17.83,17.84,17.83,17.84,1185.0
2020-03-30 11:58:00,17.83,17.83,17.825,17.83,819.0
2020-03-30 11:57:00,17.84,17.84,17.83,17.83,1416.0
2020-03-30 11:56:00,17.825,17.84,17.825,17.84,2414.0
2020-03-30 11:54:00,17.8497,17.85,17.8497,17.85,1654.0
2020-03-30 11:53:00,17.845,17.86,17.84,17.84,1819.0
2020-03-30 11:52:00,17.88,17.88,17.85,17.87,545.0
2020-03-30 11:51:00,17.89,17.9,17.89,17.9,560.0
2020-03-30 11:50:00,17.95,17.95,17.9,17.9,2475.0
2020-03-30 11:49:00,17.95,17.955,17.93,17.9485,2268.0
2020-03-30 11:48:00,17.95,17.95,17.94,17.94,900.0
2020-03-30 11:47:00,17.955,17.96,17.935,17.94,2703.0
2020-03-30 11:46:00,17.96,17.96,17.95,17.95,1372.0
2020-03-30 11:45:00,17.97,17.97,17.95,17.97,1021.0
2020-03-30 11:44:00,17.94,17.95,17.925,17.95,2423.0
2020-03-30 11:43:00,17.96,17.98,17.95,17.95,2249.0
2020-03-30 11:42:00,17.94,17.96,17.94,17.96,1803.0
2020-03-30 11:41:00,17.955,17.96,17.935,17.95,2366.0
2020-03-30 11:40:00,18.0,18.0,17.92,17.96,5405.0
2020-03-30 11:39:00,18.01,18.01,18.01,18.01,684.0
2020-03-30 11:38:00,18.0,18.04,17.995,17.995,2377.0
