Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,156.770004,157.770004,156.449997,157.699997,157.270432,18369400
2020-01-02,158.779999,160.729996,158.330002,160.619995,160.182480,22622100
2020-01-03,158.320007,159.949997,158.059998,158.619995,158.187927,21116200
2020-01-06,157.080002,159.100006,156.509995,159.029999,158.596817,20813700
2020-01-07,159.320007,159.669998,157.320007,157.580002,157.150772,21634100
2020-01-08,158.929993,160.800003,157.949997,160.089996,159.653915,27746500
2020-01-09,161.839996,162.220001,161.029999,162.089996,161.648468,21385000
2020-01-10,162.820007,163.220001,161.179993,161.339996,160.900513,20725900
2020-01-13,161.759995,163.309998,161.259995,163.279999,162.835236,21626500
2020-01-14,163.389999,163.600006,161.720001,162.130005,161.688370,23477400
2020-01-15,162.619995,163.940002,162.570007,163.179993,162.735504,21417900
2020-01-16,164.350006,166.240005,164.029999,166.169998,165.717361,23865400
2020-01-17,167.419998,167.470001,165.429993,167.100006,166.644836,34371700
2020-01-21,166.679993,168.190002,166.429993,166.500000,166.046463,29517200
2020-01-22,167.399994,167.490005,165.679993,165.699997,165.248642,24138800
2020-01-23,166.190002,166.800003,165.270004,166.720001,166.265869,19680800
2020-01-24,167.509995,167.529999,164.449997,165.039993,164.590439,24918100
2020-01-27,161.149994,163.380005,160.199997,162.279999,161.837952,32078100
2020-01-28,163.779999,165.759995,163.070007,165.460007,165.009308,24899900
2020-01-29,167.839996,168.750000,165.690002,168.039993,167.582260,34754500
2020-01-30,174.050003,174.050003,170.789993,172.779999,172.309357,51597500
2020-01-31,172.210007,172.399994,169.580002,170.229996,169.766296,36142700
