x,target
1,130.820007
2,131.039993
3,128.880005
4,135.940002
5,136.470001
6,136.759995
7,136.789993
8,135.979996
9,135.910004
10,137.490005
11,136.770004
12,135.160004
13,134.429993
14,122.610001
15,124.410004
16,122.989998
17,119
18,117.370003
19,118.269997
20,119.279999
21,119.379997
22,118.370003
23,119.410004
24,117.529999
25,116.82
26,118.43
27,117.690002
28,118.389999
29,118.599998
30,118.669998
31,118.580002
