x,target
1,157.699997
2,160.619995
3,158.619995
4,159.029999
5,157.580002
6,160.089996
7,162.089996
8,161.339996
9,163.279999
10,162.130005
11,163.179993
12,166.169998
13,167.100006
14,166.5
15,165.699997
16,166.720001
17,165.039993
18,162.279999
19,165.460007
20,168.039993
21,172.779999
22,170.229996
