x,target
1,40.330002
2,40.709999
3,40.52
4,41.139999
5,41.98
6,42.099998
7,41.639999
8,41.619999
9,42.689999
10,41.91
11,38.330002
12,37.389999
13,37.27
14,37.419998
15,37.529999
16,38.299999
17,38
18,38.529999
19,39.43
20,38.779999
21,47.619999
22,48.509998
23,48.990002
24,48.669998
25,48.369999
26,48.709999
27,48.849998
28,47.919998
29,48.029999
30,48.220001
