x,target
1,357.420013
2,350.98999
3,343.059998
4,330.929993
5,335.119995
6,333.350006
7,328.200012
8,332.299988
9,329.100006
10,327.170013
11,345.51001
12,341.839996
13,326.630005
14,325.600006
15,321.350006
16,313.559998
17,310.549988
18,316.529999
19,309.100006
20,301.540009
21,304.179993
22,279.179993
23,257.779999
24,266.130005
25,252.479996
26,267.529999
27,286.940002
28,305.720001
29,299.299988
30,289.660004
31,304.700012
