x,target
1,154.889999
2,143.979996
3,144.529999
4,148.699997
5,149.559998
6,151.289993
7,152.5
8,152.880005
9,150.850006
10,150.270004
11,153.080002
12,154.199997
13,157.5
14,156.410004
15,154.149994
16,154.110001
17,155.479996
18,155.789993
19,156.25
20,163.25
21,166.110001
22,166.960007
23,167.410004
24,172.860001
25,174.649994
26,172.399994
27,168.990005
28,171.050003
29,170.100006
30,171.389999
