sid,Date,Open,High,Low,4. close,Volume
107,1/2/2020,424.5,430.700012,421.709991,430.26001,9532100
107,1/3/2020,440.5,454,436.920013,443.01001,17778500
107,1/6/2020,440.470001,451.559998,440,451.540009,10133000
107,1/7/2020,461.399994,471.630005,453.359985,469.059998,17882100
107,1/8/2020,473.700012,498.48999,468.230011,492.140015,31144300
107,1/9/2020,497.100006,498.799988,472.869995,481.339996,28440400
107,1/10/2020,481.790009,484.940002,473.700012,478.149994,12959500
107,1/13/2020,493.5,525.630005,492,524.859985,26517600
107,1/14/2020,544.26001,547.409973,524.900024,537.919983,28996200
107,1/15/2020,529.76001,537.840027,516.789978,518.5,17368800
107,1/16/2020,493.75,514.460022,492.170013,513.48999,21736700
107,1/17/2020,507.609985,515.669983,503.160004,510.5,13629100
107,1/21/2020,530.25,548.580017,528.409973,547.200012,17803500
107,1/22/2020,571.890015,594.5,559.099976,569.559998,31369000
107,1/23/2020,564.25,582,555.599976,572.200012,19651000
107,1/24/2020,570.630005,573.859985,554.26001,564.820007,14353600
107,1/27/2020,541.98999,564.440002,539.280029,558.02002,13608100
107,1/28/2020,568.48999,576.809998,558.080017,566.900024,11788500
107,1/29/2020,575.690002,589.799988,567.429993,580.98999,17801500
107,1/30/2020,632.419983,650.880005,618,640.809998,29005700
107,1/31/2020,640,653,632.52002,650.570007,15719300
107,2/3/2020,673.690002,786.140015,673.52002,780,47233500
107,2/4/2020,882.960022,968.98999,833.880005,887.059998,60938800
107,2/5/2020,823.26001,845.97998,704.109985,734.700012,48423800
107,2/6/2020,699.919983,795.830017,687,748.960022,39880800
107,2/7/2020,730.549988,769.75,730,748.070007,17063500
107,2/10/2020,800,819.98999,752.400024,771.280029,24689200
107,2/11/2020,768.789978,783.51001,758,774.380005,11697500
107,2/12/2020,777.869995,789.75,763.369995,767.289978,12022500
107,2/13/2020,741.840027,818,735,804,26289300
107,2/14/2020,787.219971,812.969971,785.5,800.030029,15693700
107,2/18/2020,841.599976,860,832.359985,858.400024,16381700
107,2/19/2020,923.5,944.780029,901.02002,917.419983,25423000
107,2/20/2020,911.950012,912,859.940002,899.409973,17634900
107,2/21/2020,906.97998,913.059998,880.450012,901,14314800
107,2/24/2020,839,863.5,822.200012,833.789978,15192200
107,2/25/2020,849,856.599976,787,799.909973,17290500
107,2/26/2020,782.5,813.309998,776.109985,778.799988,14085500
107,2/27/2020,730,739.77002,669,679,24277200
107,2/28/2020,629.700012,690.52002,611.52002,667.98999,24564200
107,3/2/2020,711.26001,743.690002,686.669983,743.619995,20195000
107,3/3/2020,805,806.97998,716.109985,745.51001,25784000
107,3/4/2020,763.960022,766.52002,724.72998,749.5,15049000
107,3/5/2020,723.77002,745.75,718.070007,724.539978,10852700
107,3/6/2020,690,707,684.27002,703.47998,12662900
107,3/9/2020,605.390015,663,605,608,17073700
107,3/10/2020,659.429993,668,608,645.330017,15594400
107,3/11/2020,640.200012,653.580017,613,634.22998,13322500
107,3/12/2020,580.890015,594.5,546.25,560.549988,18909100
107,3/13/2020,595,607.570007,502,546.619995,22640300
107,3/16/2020,469.5,494.869995,442.170013,445.070007,20489500
107,3/17/2020,440.01001,471.850006,396,430.200012,23994600
107,3/18/2020,389,404.859985,350.51001,361.220001,23786200
107,3/19/2020,374.700012,452,358.459991,427.640015,30195500
107,3/20/2020,438.200012,477,425.790009,427.529999,28285500
107,3/23/2020,433.600006,442,410.5,434.290009,16454500
107,3/24/2020,477.299988,513.690002,474,505,22718500
107,3/25/2020,477.299988,556.890015,511.23999,546.900024,18977652
