date,1. open,2. high,3. low,4. close,5. volume
2020-02-27 16:00:00,22.72,22.81,22.67,22.72,78131.0
2020-02-27 15:59:00,22.775,22.78,22.71,22.725,44521.0
2020-02-27 15:58:00,22.82,22.825,22.77,22.775,36958.0
2020-02-27 15:57:00,22.84,22.855,22.81,22.82,47838.0
2020-02-27 15:56:00,22.86,22.88,22.83,22.84,35226.0
2020-02-27 15:55:00,22.89,22.9,22.86,22.865,26686.0
2020-02-27 15:54:00,22.9,22.96,22.83,22.9,39008.0
2020-02-27 15:53:00,22.87,22.94,22.87,22.89,26458.0
2020-02-27 15:52:00,22.97,22.98,22.83,22.88,37835.0
2020-02-27 15:51:00,23.12,23.13,22.97,22.98,26517.0
2020-02-27 15:50:00,23.12,23.145,23.08,23.12,20417.0
2020-02-27 15:49:00,23.08,23.15,23.065,23.11,29548.0
2020-02-27 15:48:00,23.01,23.08,23.01,23.08,39078.0
2020-02-27 15:47:00,22.98,23.015,22.96,23.01,16988.0
2020-02-27 15:46:00,22.965,23.03,22.965,22.98,19687.0
2020-02-27 15:45:00,22.95,22.98,22.95,22.965,16483.0
2020-02-27 15:44:00,22.97,22.98,22.95,22.955,10732.0
2020-02-27 15:43:00,22.98,22.99,22.97,22.975,10168.0
2020-02-27 15:42:00,22.99,23.01,22.98,22.985,8461.0
2020-02-27 15:41:00,22.99,23.01,22.97,22.99,14816.0
2020-02-27 15:40:00,23.0,23.0,22.94,22.98,16352.0
2020-02-27 15:39:00,23.02,23.02,23.0,23.0,15518.0
2020-02-27 15:38:00,23.035,23.055,23.025,23.025,14047.0
2020-02-27 15:37:00,23.06,23.06,23.019,23.03,10596.0
2020-02-27 15:36:00,23.055,23.07,23.04,23.06,10426.0
2020-02-27 15:35:00,23.06,23.07,23.04,23.055,17454.0
2020-02-27 15:34:00,23.005,23.07,23.0,23.06,15045.0
2020-02-27 15:33:00,23.03,23.04,23.0,23.005,15878.0
2020-02-27 15:32:00,22.99,23.04,22.99,23.02,9500.0
2020-02-27 15:31:00,23.0,23.03,22.97,22.99,11690.0
2020-02-27 15:30:00,23.03,23.05,23.01,23.02,8672.0
2020-02-27 15:29:00,22.968,23.04,22.96,23.03,12337.0
2020-02-27 15:28:00,22.975,22.99,22.95,22.96,12738.0
2020-02-27 15:27:00,23.01,23.0196,22.9367,22.99,10204.0
2020-02-27 15:26:00,22.919,23.01,22.919,23.0,5875.0
2020-02-27 15:25:00,22.98,22.99,22.93,22.93,8553.0
2020-02-27 15:24:00,23.01,23.02,22.96,22.978,5761.0
2020-02-27 15:23:00,22.97,23.02,22.959,23.01,10222.0
2020-02-27 15:22:00,22.93,22.99,22.9,22.985,10717.0
2020-02-27 15:21:00,23.0,23.02,22.94,22.94,7534.0
2020-02-27 15:20:00,23.06,23.07,22.98,23.0,6515.0
2020-02-27 15:19:00,23.08,23.1,23.05,23.06,11354.0
2020-02-27 15:18:00,23.16,23.16,23.06,23.07,20226.0
2020-02-27 15:17:00,23.17,23.23,23.16,23.178,11999.0
2020-02-27 15:16:00,23.26,23.28,23.17,23.2,24830.0
2020-02-27 15:15:00,22.91,23.45,22.91,23.27,92159.0
2020-02-27 15:14:00,22.96,22.96,22.91,22.92,5642.0
2020-02-27 15:13:00,22.98,22.985,22.96,22.965,13421.0
2020-02-27 15:12:00,22.955,22.99,22.955,22.98,7251.0
2020-02-27 15:11:00,22.93,22.97,22.93,22.95,14046.0
2020-02-27 15:10:00,22.9,22.93,22.895,22.92,10145.0
2020-02-27 15:09:00,22.87,22.93,22.87,22.9,13204.0
2020-02-27 15:08:00,22.88,22.88,22.84,22.87,8169.0
2020-02-27 15:07:00,22.89,22.9,22.87,22.9,7149.0
2020-02-27 15:06:00,22.87,22.89,22.85,22.875,12461.0
2020-02-27 15:05:00,22.825,22.86,22.81,22.86,8358.0
2020-02-27 15:04:00,22.84,22.85,22.82,22.83,6070.0
2020-02-27 15:03:00,22.83,22.86,22.83,22.849,10844.0
2020-02-27 15:02:00,22.84,22.86,22.82,22.825,6698.0
2020-02-27 15:01:00,22.885,22.885,22.84,22.859,11366.0
2020-02-27 15:00:00,22.88,22.9,22.87,22.88,9072.0
2020-02-27 14:59:00,22.88,22.88,22.86,22.875,4244.0
2020-02-27 14:58:00,22.88,22.9,22.86,22.89,9028.0
2020-02-27 14:57:00,22.909,22.92,22.86,22.88,4939.0
2020-02-27 14:56:00,22.935,22.94,22.9,22.91,9463.0
2020-02-27 14:55:00,22.92,22.94,22.92,22.935,4332.0
2020-02-27 14:54:00,22.925,22.93,22.91,22.93,3199.0
2020-02-27 14:53:00,22.925,22.94,22.92,22.93,2976.0
2020-02-27 14:52:00,22.93,22.93,22.907,22.92,4399.0
2020-02-27 14:51:00,22.95,22.96,22.94,22.94,6081.0
2020-02-27 14:50:00,22.93,22.96,22.93,22.95,3042.0
2020-02-27 14:49:00,22.905,22.93,22.88,22.93,8222.0
